CASEID	SETID	CHOICE15	Alternative	FSG	FSO	TT	CHOICE01				
1401	111	5	3	0.834	1.25	0	0				
1401	111	5	4	1.044	4.743	0	0				
1401	111	5	5	0.898	56.296	11.09	1				
1401	112	4	1	1.044	4.743	0	0				
1401	112	4	2	0.629	0.779	0	0				
1401	112	4	3	0.834	1.25	0	0				
1401	112	4	4	0.898	56.296	11.09	1				
1401	112	4	5	1.622	7.598	7.08	0				
1403	113	3	1	1.044	4.743	0	0				
1403	113	3	2	0.629	0.779	0	0				
1403	113	3	3	0.834	1.25	0	1				
1403	113	3	4	1.622	7.598	7.08	0				
1403	113	3	5	1.817	1.498	8.82	0				
1403	114	3	1	1.044	4.743	0	0				
1403	114	3	2	0.629	0.779	0	0				
1403	114	3	3	0.834	1.25	0	1				
1403	114	3	4	1.622	7.598	7.08	0				
1403	114	3	5	1.817	1.498	8.82	0				
1405	115	1	1	0.834	1.25	0	1				
1405	115	1	2	0.629	0.779	0	0				
1405	115	1	3	1.044	4.743	0	0				
1405	115	1	4	1.622	7.598	7.08	0				
1405	115	1	5	1.817	1.498	8.82	0				
1405	116	2	1	0.629	0.779	0	0				
1405	116	2	2	0.834	1.25	0	1				
1405	116	2	3	1.044	4.743	0	0				
1405	116	2	4	1.622	7.598	7.08	0				
1405	116	2	5	1.817	1.498	8.82	0				
1420	117	2	1	1.184	0.228	7.4	0				
1420	117	2	2	3.153	6.816	13.72	1				
1420	117	2	3	0.526	3.918	13.28	0				
1420	117	2	4	1.73	15.564	13.72	0				
1420	117	2	5	1.19	1.597	13.68	0				
1420	118	1	1	1.73	15.564	13.72	1				
1420	118	1	2	1.184	0.228	7.4	0				
1420	118	1	3	0.526	3.918	13.28	0				
1420	118	1	4	3.153	6.816	13.72	0				
1420	118	1	5	1.19	1.597	29.64	0				
1422	119	3	1	1.622	7.598	7.4	0				
1422	119	3	2	0.403	0.04	7.4	0				
1422	119	3	3	3.708	6.001	5.52	1				
1422	119	3	4	0.347	0.431	21	0				
1422	119	3	5	0.526	3.918	13.28	0				
1422	120	5	1	2.473	1.131	8.57	0				
1422	120	5	2	0.403	0.04	2.61	0				
1422	120	5	3	1.622	7.598	2.61	0				
