ID	FSG1	FSO1	TT1	FSG2	FSO2	TT2	FSG3	FSO3	TT3	FSG4	FSO4	TT4	FSG5	FSO5	TT5	CHOICE	
3043	1828	8660	576	1324	2309	423	1651	22007	423	1335	5049	423	231	2347	739	4
3044	177	907	390	280	5127	0	1856	3751	0	2705	89841	2054	1324	2309	423	4
3048	2705	89841	813	1220	18568	0	1309	2066	507	2322	867	261	280	5127	0	1
3048	1220	18568	0	2705	89841	813	1309	2066	507	2322	867	261	7024	12895	551	2
3056	1325	30295	785	2322	867	170	1220	18568	333	36	276	572	1309	2066	507	1
3059	1506	632	2000	322	1712	0	591	423	1708	36	276	2296	2001	4634	0	5
3063	215	30	0	2304	8249	687	699	2341	676	666	1355	1035	322	1712	0	2
3066	2952	4534	0	456	0	0	176	4754	0	625	577	1144	1424	1132	2068	1
3067	176	4754	0	1481	1372	0	280	5127	390	1856	3751	390	177	907	0	5
3067	231	2347	649	1481	1372	0	280	5127	390	1856	3751	390	177	907	0	5
3068	803	1587	0	1345	6319	0	58	189	1668	231	2347	2876	177	907	0	1
3069	2925	4548	0	6330	11383	0	1645	7010	1200	1000	665	1200	3400	17619	1900	1
3069	1645	7010	1200	6330	11383	0	2925	4548	0	1000	665	1200	3400	17619	1900	3
3070	3403	12516	1108	1031	7272	1108	135	409	2128	900	5818	3000	6330	11383	0	1
3071	3153	6816	1549	280	5127	0	1856	3751	0	177	907	390	1031	7272	345	1
3071	1481	1372	390	280	5127	0	177	907	390	1856	3751	0	686	368	611	4
3078	959	5877	1928	1789	8709	0	309	2546	1928	60	26	1928	1469	3123	0	5
3080	959	5877	1928	1789	8709	0	309	2546	1928	60	26	1928	1469	3123	0	5
3084	1309	2066	2016	2322	867	812	1220	18568	0	7024	12895	1900	1447	2000	1900	3
3085	1789	8709	537	1469	3123	537	130	324	911	60	26	1038	309	2546	1038	2
3086	1789	8709	0	1469	3123	0	309	2546	1928	60	26	1928	959	5877	1928	2
